 Flowfield data for bluff-body stabilised nonpremixed turbulent flames
 Burner bluff-body diameter, D_b=50mm, (R_b=25mm), jet diameter=3.6mm

 Flame code: B4F3, Fuel: CNG/H2(1:1) 
 Flame B: Bulk Jet Velocity: 108 m/s, Coflow = 35m/s, 

 Data set 1: 21 January 2000 (Total:two data sets)

 x/D_b       	normalised downstream position
 r/R_b		normalised radial position
 U 		mean axial velocity						
 V 		mean radial velocity						
 rms u		rms axial velocity						
 rms v		rms radial velocity						
 <u'v'>		Reynold's shear stress						
 n		number of <u'v'> samples
 %err		% statistical error in <u'v'> ie 1/sqrt(n)

x/D_b   r/R_b    U        V     rms u   rms v   <u'v'>  n        %err
                (m/s)   (m/s)   (m/s)   (m/s)

0.06	0	126.79	0.22	6.39	3.98	-4.36	17	24.3%
0.06	0.02	125.89	0.38	6.63	4.21	9.45	14	26.7%
0.06	0.04	114.15	0.33	8.42	4.60	-4.27	19	22.9%
0.06	0.06	109.10	0.10	9.15	4.85	-1.74	12	28.9%
0.06	0.08	83.85	0.96	17.46	6.38	-46.10	32	17.7%
0.06	0.12	-1.25	3.86	4.40	3.27	2.43	211	6.9%
0.06	0.16	-1.55	2.76	3.68	2.37	5.24	300	5.8%
0.06	0.2	-1.73	1.85	3.69	2.66	4.90	225	6.7%
0.06	0.24	-1.37	1.08	3.78	2.74	4.55	229	6.6%
0.06	0.32	-1.69	-0.19	3.55	2.88	6.54	233	6.6%
0.06	0.4	-1.50	-0.95	3.19	2.78	3.72	277	6.0%
0.06	0.48	-1.35	-1.93	3.04	2.67	2.62	281	6.0%
0.06	0.56	-1.32	-2.36	2.88	2.51	1.58	319	5.6%
0.06	0.64	-1.12	-3.10	2.72	2.21	1.87	320	5.6%
0.06	0.72	-0.82	-3.30	2.55	2.15	0.62	313	5.7%
0.06	0.8	-0.58	-3.16	2.33	1.90	0.89	412	4.9%
0.06	0.88	-0.71	-2.79	1.96	1.50	1.44	387	5.1%
0.06	0.92	-0.77	-2.54	1.97	1.20	1.26	383	5.1%
0.06	0.96	-0.34	-2.38	1.86	1.02	0.48	457	4.7%
0.06	1	4.07	-0.86	2.42	2.36	-0.53	670	3.9%
0.06	1.04	24.80	-0.07	5.46	2.72	-17.35	38	16.2%
0.06	1.12	33.91	0.61	2.98	2.03	-1.82	148	8.2%
0.06	1.2	35.97	0.39	2.61	2.03	-1.17	171	7.6%
0.2	0	127.12	0.36	6.62	4.63	-8.52	15	25.8%
0.2	0.02	125.47	0.39	7.30	4.38	10.35	19	22.9%
0.2	0.04	108.51	1.11	11.75	5.92	9.27	16	25.0%
0.2	0.06	98.85	0.08	15.37	6.75	8.18	14	26.7%
0.2	0.08	76.77	-2.12	19.74	8.49	67.03	26	19.6%
0.2	0.12	25.87	-1.31	14.78	9.83	30.28	31	18.0%
0.2	0.16	-1.44	2.47	6.32	4.78	6.16	191	7.2%
0.2	0.2	-3.77	2.61	3.95	2.08	6.71	155	8.0%
0.2	0.24	-4.58	2.11	3.76	2.01	6.49	115	9.3%
0.2	0.32	-4.80	1.07	3.97	2.11	3.37	117	9.2%
0.2	0.4	-4.93	0.17	4.01	2.24	4.82	116	9.3%
0.2	0.48	-4.71	-0.22	3.92	2.33	1.30	120	9.1%
0.2	0.56	-4.58	-0.81	3.82	2.16	2.59	99	10.1%
0.2	0.64	-4.26	-0.98	3.84	2.16	4.39	159	7.9%
0.2	0.72	-3.89	-1.59	3.79	2.06	-0.66	145	8.3%
0.2	0.8	-3.24	-1.76	3.93	1.85	-2.03	219	6.8%
0.2	0.88	-2.15	-1.62	3.73	1.55	-2.95	270	6.1%
0.2	0.92	-1.16	-1.58	3.61	1.54	-1.49	337	5.4%
0.2	0.96	3.49	-0.89	3.21	2.15	-0.99	735	3.7%
0.2	1	12.54	-0.29	4.30	2.72	-5.36	281	6.0%
0.2	1.04	26.73	0.80	4.24	2.67	-5.57	126	8.9%
0.2	1.12	33.56	0.68	3.03	2.09	-1.94	82	11.0%
0.2	1.2	35.63	0.54	2.58	1.98	-0.65	130	8.8%
0.4	0	118.53	-0.38	11.07	7.42	0.82	16	25.0%
0.4	0.02	112.99	-0.38	13.33	7.47	13.30	23	20.9%
0.4	0.04	100.54	-0.40	16.86	8.49	21.94	21	21.8%
0.4	0.06	85.05	-1.97	19.41	9.31	42.20	14	26.7%
0.4	0.08	57.46	-2.26	19.90	10.33	45.19	30	18.3%
0.4	0.12	30.81	-2.21	15.67	10.42	52.37	10	31.6%
0.4	0.16	14.38	-0.56	12.34	8.81	28.03	119	9.2%
0.4	0.2	0.44	1.47	8.31	5.74	11.54	280	6.0%
0.4	0.24	-5.17	2.20	5.30	3.32	19.50	114	9.4%
0.4	0.32	-7.34	1.56	3.90	2.32	0.78	35	16.9%
0.4	0.4	-7.48	0.84	4.00	2.43	-1.29	42	15.4%
0.4	0.48	-8.19	-0.19	3.63	2.39	-4.60	23	20.9%
0.4	0.56	-7.50	-0.51	4.09	2.46	-14.32	35	16.9%
0.4	0.64	-6.81	-1.20	4.16	2.49	-11.80	71	11.9%
0.4	0.72	-5.95	-1.54	4.54	2.40	-11.03	123	9.0%
0.4	0.8	-3.78	-1.11	4.73	2.18	-5.96	247	6.4%
0.4	0.88	2.04	-0.29	4.66	2.01	-1.84	770	3.6%
0.4	0.92	10.01	0.64	4.71	2.35	-4.47	404	5.0%
0.4	0.96	18.89	1.47	4.99	2.71	-11.58	150	8.2%
0.4	1	24.46	1.17	4.26	2.84	-7.26	102	9.9%
0.4	1.04	29.42	1.32	3.56	2.19	-2.07	181	7.4%
0.4	1.12	33.99	0.83	2.79	1.93	-2.08	213	6.9%
0.4	1.2	35.75	0.64	2.39	1.92	-1.12	249	6.3%
0.6	0	101.03	-0.97	16.22	9.81	4.45	16	25.0%
0.6	0.02	98.42	-1.43	16.94	10.13	-23.64	30	18.3%
0.6	0.04	87.63	-2.05	19.13	10.00	27.72	42	15.4%
0.6	0.06	71.37	-2.25	19.72	10.28	57.30	42	15.4%
0.6	0.08	52.07	-1.97	17.71	10.74	49.86	88	10.7%
0.6	0.12	34.19	-1.64	16.22	10.82	76.01	27	19.2%
0.6	0.16	21.87	-1.45	13.70	9.76	49.35	163	7.8%
0.6	0.2	9.80	-0.36	11.61	8.34	9.55	241	6.4%
0.6	0.24	1.21	0.41	9.88	6.85	13.96	239	6.5%
0.6	0.32	-7.78	1.57	5.36	3.77	41.41	57	13.2%
0.6	0.4	-10.26	0.90	4.14	3.02	44.47	8	35.4%
0.6	0.48	-10.53	-0.01	4.00	2.62	-6.61	9	33.3%
